,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Position,Floor No.,Weather,Occupancy_Classified
252,1874.0,40.0,60.0,62.0,25.9,13.9,3,2.0,4,2
253,1875.0,40.0,60.0,63.0,25.9,13.9,3,2.0,4,2
254,1874.0,42.0,61.0,64.0,25.8,13.9,3,2.0,4,2
255,1874.0,41.0,61.0,63.0,25.8,13.9,3,2.0,4,2
256,1874.0,40.0,60.0,62.0,25.8,13.9,3,2.0,4,2
257,1875.0,40.0,60.0,62.0,25.8,13.9,3,2.0,4,2
258,1876.0,41.0,60.0,62.0,25.8,13.9,3,2.0,4,2
259,1876.0,41.0,60.0,62.0,25.8,13.9,3,2.0,4,2
260,1877.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
261,1878.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
262,1880.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
263,1883.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
264,1886.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
265,1890.0,40.0,58.0,62.0,25.8,13.9,3,2.0,4,2
266,1894.0,39.0,59.0,63.0,25.8,13.9,3,2.0,4,2
267,1898.0,39.0,59.0,63.0,25.9,13.9,3,2.0,4,2
268,1901.0,39.0,59.0,62.0,25.9,13.9,3,2.0,4,2
269,1905.0,39.0,59.0,62.0,25.9,13.9,3,2.0,4,2
270,1909.0,38.0,59.0,61.0,25.9,13.9,3,2.0,4,2
271,1912.0,38.0,58.0,61.0,25.9,13.9,3,2.0,4,2
272,1916.0,37.0,56.0,60.0,26.0,13.9,3,2.0,4,2
273,1920.0,37.0,56.0,60.0,26.0,13.9,3,2.0,4,2
274,1924.0,38.0,56.0,60.0,26.0,13.9,3,2.0,4,2
275,1928.0,37.0,56.0,60.0,26.0,13.9,3,2.0,4,2
276,1932.0,37.0,56.0,60.0,26.0,13.9,3,2.0,4,2
277,1933.0,37.0,56.0,60.0,26.0,13.9,3,2.0,4,2
278,1934.0,36.0,56.0,61.0,26.0,13.9,3,2.0,4,2
279,1934.0,36.0,56.0,61.0,26.0,13.9,3,2.0,4,2
280,1934.0,36.0,56.0,61.0,25.9,13.9,3,2.0,4,2
281,1934.0,37.0,57.0,63.0,25.9,13.9,3,2.0,4,2
282,1931.0,37.0,58.0,63.0,25.9,13.9,3,2.0,4,2
283,1929.0,36.0,57.0,63.0,26.0,13.9,3,2.0,4,2
284,1927.0,37.0,58.0,65.0,25.9,13.9,3,2.0,4,2
