,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Position,Floor No.,Weather,Occupancy_Classified
221,1898.0,38.0,57.0,62.0,26.3,14.1,77.9,middle,2.0,sunny,2
222,1899.0,39.0,58.0,63.0,26.2,14.1,72.7,middle,2.0,sunny,2
223,1899.0,37.0,57.0,62.0,26.2,14.1,72.3,middle,2.0,sunny,2
224,1899.0,37.0,57.0,62.0,26.2,14.1,77.5,middle,2.0,sunny,2
225,1899.0,38.0,58.0,63.0,26.2,14.1,77.8,middle,2.0,sunny,2
226,1899.0,37.0,57.0,62.0,26.2,14.1,72.9,middle,2.0,sunny,2
227,1899.0,38.0,58.0,63.0,26.2,14.1,75.1,middle,2.0,sunny,2
228,1899.0,38.0,58.0,64.0,26.2,14.1,77.7,middle,2.0,sunny,2
229,1897.0,38.0,58.0,64.0,26.2,14.1,70.3,middle,2.0,sunny,2
230,1895.0,38.0,58.0,65.0,26.1,14.1,74.5,middle,2.0,sunny,2
231,1892.0,38.0,58.0,66.0,26.2,14.1,71.7,middle,2.0,sunny,2
232,1888.0,38.0,58.0,66.0,26.2,14.0,70.8,middle,2.0,sunny,2
233,1884.0,38.0,59.0,66.0,26.1,14.0,75.4,middle,2.0,sunny,2
234,1881.0,39.0,59.0,66.0,26.1,14.0,76.7,middle,2.0,sunny,2
235,1878.0,37.0,57.0,64.0,26.1,14.0,83.7,middle,2.0,sunny,2
236,1875.0,37.0,57.0,63.0,26.1,14.0,77.3,middle,2.0,sunny,2
237,1873.0,37.0,56.0,62.0,26.0,14.0,72.8,middle,2.0,sunny,2
238,1871.0,37.0,56.0,62.0,26.0,14.0,70.8,middle,2.0,sunny,2
239,1871.0,37.0,56.0,62.0,26.1,14.0,73.2,middle,2.0,sunny,2
240,1871.0,37.0,56.0,61.0,26.0,14.0,71.6,middle,2.0,sunny,2
241,1871.0,37.0,56.0,61.0,26.0,14.0,74.9,middle,2.0,sunny,2
242,1871.0,37.0,56.0,60.0,26.0,14.0,78.6,middle,2.0,sunny,2
243,1870.0,37.0,56.0,60.0,26.0,13.9,76.0,middle,2.0,sunny,2
244,1870.0,37.0,56.0,60.0,26.0,14.0,76.1,middle,2.0,sunny,2
245,1870.0,38.0,56.0,60.0,26.0,13.9,73.5,middle,2.0,sunny,2
246,1870.0,38.0,56.0,60.0,25.9,13.9,72.4,middle,2.0,sunny,2
247,1871.0,39.0,57.0,61.0,26.0,13.9,76.1,middle,2.0,sunny,2
248,1871.0,39.0,58.0,61.0,25.9,13.9,78.8,middle,2.0,sunny,2
249,1872.0,41.0,59.0,61.0,25.9,13.9,71.9,middle,2.0,sunny,2
250,1873.0,40.0,59.0,61.0,25.9,13.9,78.4,middle,2.0,sunny,2
251,1873.0,41.0,60.0,62.0,25.9,13.9,76.8,middle,2.0,sunny,2
252,1874.0,40.0,60.0,62.0,25.9,13.9,70.8,middle,2.0,sunny,2
253,1875.0,40.0,60.0,63.0,25.9,13.9,70.1,middle,2.0,sunny,2
254,1874.0,42.0,61.0,64.0,25.8,13.9,76.3,middle,2.0,sunny,2
255,1874.0,41.0,61.0,63.0,25.8,13.9,75.8,middle,2.0,sunny,2
